"filename", "language", "TypeScript", "Vue", "XML", "SCSS", "CSS", "JSON with Comments", "JSON", "HTML", "Markdown", "YAML", "JavaScript", "comment", "blank", "total"
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/store/flights/actions.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/store/flights/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/store/flights/mutations.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/store/flights/state.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/store/index.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/styles/common.scss", "SCSS", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/styles/component-rewrite.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/styles/mixins.scss", "SCSS", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/styles/normalize.css", "CSS", 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 131, 75, 352
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/styles/variable.scss", "SCSS", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 4, 17
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/fixtures/clientManagement.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/fixtures/flights.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 88
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/fixtures/orders.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/spec/data-access/clientManagement.spec.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/spec/data-access/flights.spec.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/spec/data-access/orders.spec.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/spec/http/request.spec.ts", "TypeScript", 221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24, 247
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/spec/store/flights/actions.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/spec/store/flights/mutations.spec.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/spec/utils/repository.spec.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 101
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/spec/views/components/cabinInfo.spec.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/utils/index.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/types/clientManagement.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/types/common.d.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
