Date : 2022-09-11 18:41:42
Directory : /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app
Total : 71 files,  4744 codes, 208 comments, 789 blanks, all 5741 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/constants/http.ts                                 | TypeScript         |         30 |         15 |          4 |         49 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/constants/index.ts                                | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/constants/store.ts                                | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/data-access/clientManagement.ts                   | TypeScript         |         32 |          1 |          3 |         36 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/data-access/flights.ts                            | TypeScript         |         20 |          0 |          4 |         24 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/data-access/index.ts                              | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/data-access/orders.ts                             | TypeScript         |         11 |          0 |          3 |         14 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/env.d.ts                                          | TypeScript         |         12 |          2 |          3 |         17 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/http/index.ts                                     | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/http/interceptors.ts                              | TypeScript         |         74 |         13 |         17 |        104 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/http/request.ts                                   | TypeScript         |         45 |          4 |          8 |         57 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/main.ts                                           | TypeScript         |          9 |          0 |          4 |         13 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/router/index.ts                                   | TypeScript         |         36 |          0 |          5 |         41 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/store/flights/actions.ts                          | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/store/flights/index.ts                            | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/store/flights/mutations.ts                        | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/store/flights/state.ts                            | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/store/index.ts                                    | TypeScript         |         10 |          0 |          3 |         13 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/styles/common.scss                                | SCSS               |          8 |          0 |          2 |         10 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/styles/component-rewrite.scss                     | SCSS               |          0 |          0 |          1 |          1 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/styles/mixins.scss                                | SCSS               |         20 |          0 |          4 |         24 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/styles/normalize.css                              | CSS                |        146 |        131 |         75 |        352 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/styles/variable.scss                              | SCSS               |         11 |          2 |          4 |         17 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/fixtures/clientManagement.ts                | TypeScript         |         37 |          0 |          3 |         40 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/fixtures/flights.ts                         | TypeScript         |         85 |          0 |          3 |         88 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/fixtures/orders.ts                          | TypeScript         |         35 |          0 |          3 |         38 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/spec/data-access/clientManagement.spec.ts   | TypeScript         |         22 |          0 |          4 |         26 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/spec/data-access/flights.spec.ts            | TypeScript         |         15 |          0 |          3 |         18 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/tests/spec/data-access/orders.spec.ts             | TypeScript         |         10 |          0 |          2 |         12 |
