"filename", "language", "YAML", "TypeScript", "vue", "SCSS", "JavaScript", "JSON", "JSON with Comments", "HTML", "Markdown", "XML", "comment", "blank", "total"
"/Users/duohuang/Documents/dark-horse/demo-app/src/tests/utils/index.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/duohuang/Documents/dark-horse/demo-app/src/types/common.d.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/duohuang/Documents/dark-horse/demo-app/src/types/houses.d.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"/Users/duohuang/Documents/dark-horse/demo-app/src/types/store.d.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"/Users/duohuang/Documents/dark-horse/demo-app/src/utils/message.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50
"/Users/duohuang/Documents/dark-horse/demo-app/src/utils/storage.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25, 113
"/Users/duohuang/Documents/dark-horse/demo-app/src/views/house-details/index.vue", "vue", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"/Users/duohuang/Documents/dark-horse/demo-app/src/views/houses/index.vue", "vue", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 11, 86
"/Users/duohuang/Documents/dark-horse/demo-app/src/views/post-house/index.vue", "vue", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 10, 113
"/Users/duohuang/Documents/dark-horse/demo-app/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 1, 24
"/Users/duohuang/Documents/dark-horse/demo-app/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/duohuang/Documents/dark-horse/demo-app/vite.config.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 54
"Total", "-", 2192, 812, 213, 0, 57, 80, 20, 13, 9, 1, 42, 579, 4018
